"Gellish";"English";"Version:";"8.4";"8-aug-13";"domain dictionary";"WWW namespaces mappings";60000;69999;1060000;1069999;;;;;;;;;;;;;;;;
0;69;54;71;16;2;101;;;1;60;3;15;201;65;4;14;8;67;9;10;12;13;50;68;;
"Presentation sequence";"UID of language of left hand object name";"Language of left hand object name";"UID of language community for left hand object name";"Name of language community for left hand object name";"UID of left hand object";"Name of left hand object";"Phrase (label)";"Inverse phrase (label)";"UID of fact";"UID of relation type";"Name of relation
type";"UID of right hand object";"Name of right hand object";"Partial description";"Full description";"Remarks";"Status";"Successor of relation ID";"Date of start of life";"Date of latest change";"Originator of latest change";"Reference";"UID of collection of facts";"Name of collection of facts";"Gellish base phrase";"Gellish inverse phrase"
6;910036;"English";589262;"RDF";60009;"rdf:rest";;;1060028;1146;"is a specialization of";2846;"collection relation";;"is an instance of rdf:Property that can be used to build descriptions of lists and other list-like structures. ";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";589262;"RDF";60010;"rdf:nil";;;1060029;1146;"is a specialization of";2846;"collection relation";;"is an instance of rdf:List that can be used to represent an empty list or other list-like structure.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";589262;"RDF";491285;"rdf:Statement";;;1060030;1981;"is a synonym of";491285;"statement";;"is an instance of rdfs:Class. It is intended to represent the class of RDF statements. An RDF statement is the statement made by a token of an RDF triple. The subject of an RDF statement is the instance of rdfs:Resource identified by the subject of the triple. The predicate of an RDF statement is the instance of rdf:Property identified by the predicate of the triple. The object of an RDF statement is the instance of rdfs:Resource identified by the object of the triple. rdf:Statement is in the domain of the properties rdf:predicate, rdf:subject and rdf:object. Different individual rdf:Statement instances may have the same values for their rdf:predicate, rdf:subject and rdf:object properties.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";589262;"RDF";60011;"rdf:subject";;;1060031;1146;"is a specialization of";5935;"binary relation";;"is an instance of rdf:Property that is used to state the subject of a statement.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";589262;"RDF";60012;"rdf:predicate";;;1060032;1146;"is a specialization of";5935;"binary relation";;"is an instance of rdf:Property that is used to state the predicate of a statement.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";589262;"RDF";60013;"rdf:object";;;1060033;1146;"is a specialization of";5935;"binary relation";;"is an instance of rdf:Property that is used to state the object of a statement.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
43;910036;"English";589263;"RDFS";1770;"rdfs:seeAlso";;;1060034;1981;"is a synonym of";1770;"reference to object by information";;"is an instance of rdf:Property that is used to indicate a resource that might provide additional information about the subject resource.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Annotation Properties";;;"is referenced by";
44;910036;"English";589263;"RDFS";4685;"rdfs:isDefinedBy";;;1060035;1981;"is a synonym of";4685;"definition of something";;"is an instance of rdf:Property that is used to indicate a resource defining the subject resource. This property may be used to indicate an RDF vocabulary in which a resource is described.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Annotation Properties";;;"is defined by";
44;910036;"English";589262;"RDF";4685;"rdf:value";;;1060036;1981;"is a synonym of";5935;"binary relation";;"is an instance of rdf:Property that may be used in describing structured values. rdf:value has no meaning on its own. It is provided as a piece of vocabulary that may be used in idioms such as illustrated in example 16 of the RDF primer [RDF-PRIMER]. Despite the lack of formal specification of the meaning of this property, there is value in defining it to encourage the use of a common idiom in examples of this kind. The rdfs:domain of rdf:value is rdfs:Resource. The rdfs:range of rdf:value is rdfs:Resource.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Annotation Properties";;;"is defined by";
4;910036;"English";589264;"OWL";730067;"owl:Thing";;;1060037;1981;"is a synonym of";730067;"individual thing";;;"Not 'anything' in Gellish, because in OWL the concept 'individual' is not included in this concept.";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;;
4;910036;"English";589264;"OWL";4990;"owl:Thing";;;1060038;1981;"is a synonym of";4990;"concept";;;"Not 'anything' in Gellish, because in OWL the concept 'individual' is not included in this concept.";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;;
10;910036;"English";589264;"OWL";730067;"owl:Individual";;;1060039;1981;"is a synonym of";730067;"individual thing";;;"OWL defines an individual as an instance of a class. This seems to mean that in OWL classes cannot be instances of classes.";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;;
11;910036;"English";492014;"Gellish";60002;"is the same kind as";;;1060040;1146;"is a specialization of";5980;"is the same thing as";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"(In)Equality";;;"is a synonym of";
11;910036;"English";589264;"OWL";60002;"owl:equivalentClass";;;1060041;1981;"is a synonym of";60002;"is the same kind as";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"(In)Equality";;;"is a synonym of";
11;910036;"English";492014;"Gellish";60003;"is the same kind of relation as";;;1060042;1146;"is a specialization of";60002;"is the same kind as";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"(In)Equality";;;"is a synonym of";
12;910036;"English";589264;"OWL";60003;"owl:equivalentProperty";;;1060043;1981;"is a synonym of";60003;"is the same kind of relation as";;;"unclear why equivalentClass is not sufficient";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"(In)Equality";;;"is a synonym of";
13;910036;"English";589264;"OWL";1981;"owl:sameAs";;;1060044;1981;"is a synonym of";5522;"is the same term as";;;"if objects in Gellish have the same UID then they are identical.";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"(In)Equality";;;"is a synonym of";
14;910036;"English";589264;"OWL";;"owl:differentFrom";;;1060045;1981;"is a synonym of";;;;;"unnecessary in Gellish because of UID's";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";"(In)Equality";;;;
15;910036;"English";589264;"OWL";;"owl:AllDifferent";;;1060046;1981;"is a synonym of";;;;;"unnecessary in Gellish because of UID's";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";"(In)Equality";;;;
16;910036;"English";589264;"OWL";;"owl:distinctMembers";;;1060047;1981;"is a synonym of";;;;;"unnecessary in Gellish because of UID's";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";"(In)Equality";;;;
17;910036;"English";589264;"OWL";4658;"owl:ObjectProperty";;;1060048;1981;"is a synonym of";4658;"binary relation between individual things";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Property Characteristics";;;"is related to";
18;910036;"English";589264;"OWL";4703;"owl:DatatypeProperty";;;1060049;1981;"is a synonym of";4703;"qualification of an aspect";;;"Does OWL allow qualification on scale and its (in)equality subtpes?";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Property Characteristics";;;"is constrained by a";
19;910036;"English";589264;"OWL";1986;"owl:inverseOf";;;1060050;1981;"is a synonym of";1986;"inverse for a term for an object";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Property Characteristics";;;"is an inverse of";
20;910036;"English";589264;"OWL";5520;"owl:TransitiveProperty";;;1060051;1981;"is a synonym of";5520;"transitive relation";;;"Gellish allows to qualify a relation as a transitive relation.";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Property Characteristics";;;;
21;910036;"English";589264;"OWL";5521;"owl:SymmetricProperty";;;1060052;1981;"is a synonym of";5521;"symmetric relation";;;"In Gellish every relation has by definition an inverse interpretation described by the inverse phrase. The phrase is never indentical, but may be interpreted as potentially symmetric (e.g. 'is connected to' and 'is connected from' or 'is married to' and 'is married by'). It is questionable whether complete symmetry occurs in practice. Gellish allows to qualify a relation as a symmetric relation.";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Property Characteristics";;;;
22;910036;"English";589264;"OWL";4382;"owl:FunctionalProperty";;;1060053;1981;"is a synonym of";4382;"role 1 simultaneous cardinalities";;;"In Gellish this is indicated by the minimum and maximum simultaneous cardinalities 0 and 1.";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Property Characteristics";;;;
23;910036;"English";589264;"OWL";4384;"owl:InverseFunctionalProperty";;;1060054;1981;"is a synonym of";4384;"role 2 simultaneous cardinalities";;;"In Gellish this is indicated by the minimum and maximum simultaneous cardinalities 0 and 1.";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Property Characteristics";;;;
24;910036;"English";589264;"OWL";;"owl:Restriction";;;1060055;1981;"is a synonym of";;;;;"abstract supertype; no equivalent is needed";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Property Restrictions";;;;
88;910036;"English";589264;"OWL";;"owl:Nothing";;;1060056;1981;"is a synonym of";;"nothing";;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
90;910036;"English";589264;"OWL";;"owl:topObjectProperty";;;1060057;1146;"is a specialization of";4658;"binary relation between individual things";;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
91;910036;"English";589264;"OWL";;"owl:bottomObjectProperty";;;1060058;1146;"is a specialization of";4658;"binary relation between individual things";;;"empty collection of relations between individuals";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
92;910036;"English";589264;"OWL";4703;"owl:DataProperty";;;1060059;1981;"is a synonym of";4703;"qualification of an aspect";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;"is constrained by a";"is a qualitative contraint of"
93;910036;"English";589264;"OWL";;"owl:topDataProperty";;;1060060;1146;"is a specialization of";4703;"qualification of an aspect";;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
94;910036;"English";589264;"OWL";;"owl:bottomDataProperty";;;1060061;1146;"is a specialization of";4703;"qualification of an aspect";;;"empty collection of qualification of an aspect relations";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
95;910036;"English";589264;"OWL";;"owl:AnnotationProperty";;;1060062;1146;"is a specialization of";4703;"qualification of an aspect";;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
100;910036;"English";589264;"OWL";;"owl:deprecated";;;1060063;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
101;910036;"English";589264;"OWL";;"owl:versionInfo";;;1060064;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
102;910036;"English";589264;"OWL";;"owl:priorVersion";;;1060065;1981;"is a synonym of";1393;"is a next version of";;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
103;910036;"English";589264;"OWL";;"owl:backwardCompatibleWith";;;1060066;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
104;910036;"English";589264;"OWL";;"owl:incompatibleWith";;;1060067;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
106;910036;"English";589264;"OWL";;"owl:NamedIndividual";;;1060068;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
107;910036;"English";589264;"OWL";;"owl:AnonymousIndividual";;;1060069;1981;"is a synonym of";;;;;"nameless in Gellish is a generic name for any nameless individual thing";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
108;910036;"English";589264;"OWL";1229;"owl:literal";;;1060070;1981;"is a synonym of";1229;"qualitative aspect";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
110;910036;"English";589264;"OWL";;"owl:disjointClass";;;1060071;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
25;910036;"English";;;;"onProperty ";;;1060072;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Property Restrictions";;;;
26;910036;"English";;;4846;"allValuesFrom";;;1060073;1981;"is a synonym of";4846;"common options for possession of an aspect";;;"see also Gellish 5006 'shall be classified by one of the'";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Property Restrictions";;;"shall be one of the";
