Gellish	English	Version:	9.0	27-okt-16	Dictionary+Knowledge about Roads		Buildings, civil and furniture																				
0	69	54	71	16	44	2	101	1	60	3	45	15	201	65	4	66	7	14	8	67	9	10	12	13	50	68	
Presentation sequence	UID of the languge	Language of the name of the left hand object	UID of language community	Language community for left hand object name	Simultaneous cardinalities	UID of left hand object	Name of left hand object	UID of idea	UID of relation type	Name of relation type	Simultaneous cardinalities	UID of right hand object	Name of right hand object	Partial definition	Full definition	UID of UoM	UoM	Remarks	Status	UID of successor of relation	Date of start of life	Date of latest change	Originator of latest change	Reference	UID of collection of ideas	Name of collection of ideas	
152	910036	English	195444	civil technology		45.412	road with three separated carriageways	1.047.601	1.146	is a kind of		40.153	road	that has three carriageways that are separated from each other.	is a road that has three carriageways that are separated from each other.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
153	910036	English	195444	civil technology		45.413	road with four separated carriageways	1.047.603	1.146	is a kind of		40.153	road	that has four carriageways that are separated from each other.	is a road that has four carriageways that are separated from each other.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
112	910036	English	195444	civil technology		45.414	traffic stream	210.600.071	2.069	can have as aspect a		553.898	traffic density						proposed		12-jan-06	12-jan-06	Andries van Renssen	Piet van Meerendonk	100.535	facts about civil items	
144	910036	English	195444	civil technology		45.414	traffic stream	1.047.605	1.146	is a kind of		730.045	stream	of traffic.	is a stream of traffic.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
94	910036	English	195444	civil technology		45.415	road end	210.600.074	1.261	can be a part of a		40.153	road						proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
161	910036	English	195444	civil technology		45.415	road end	1.047.609	1.146	is a kind of		10.031	end	of a road.	is a end of a road.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
146	910036	English	195444	civil technology		45.416	traffic junction	1.047.610	1.146	is a kind of		553.637	junction	where roads are conneted. 	is a junction where roads are conneted. 				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
137	910036	English	195444	civil technology		45.417	substructure	1.047.611	1.146	is a kind of		40.196	construction	that is below another structure and carries that structure.	is a construction that is below another structure and carries that structure.				accepted		21-feb-06	21-feb-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
133	910036	English	195444	civil technology		45.418	substructure of a road	210.600.080	4.956	shall have as aspect a		553.990	residual settlement difference over 25 meter in longitudinal direction after 10 years of usage						proposed		26-jan-06	26-jan-06	Andries van Renssen	Piet van Meerendonk	100.535	facts about civil items	
138	910036	English	195444	civil technology		45.418	substructure of a road	210.600.081	5.343	is by definition a role of a		45.417	substructure						accepted		21-feb-06	21-feb-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
140	910036	English	195444	civil technology		45.418	substructure of a road	1.047.615	1.146	is a kind of		3.824	part	that comprises the foundation of a road.	is a part that comprises the foundation of a road.				accepted		21-feb-06	21-feb-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
154	910036	English	195444	civil technology		45.420	roundabout with two lanes	1.047.616	1.146	is a kind of		44.132	roundabout	at which two lanes enable vehicles to move around a central island.	is a roundabout at which two lanes enable vehicles to move around a central island.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
155	910036	English	195444	civil technology		45.421	roundabout with three lanes	1.047.618	1.146	is a kind of		44.132	roundabout	at which three lanes enable vehicles to move around a central island.	is a roundabout at which three lanes enable vehicles to move around a central island.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
